metric,ref_to_tar,tar_to_ref
mean,0.002491674313787625,0.0025447414788200783
rms,0.002727211844687228,0.002800177791661123
std,0.0011087125686187933,0.001168454736344016
p50,0.002356154864954912,0.0023801452656875364
p90,0.003996106725843223,0.004161573126184652
p95,0.004512876327988301,0.004740489424961055
p99,0.005540742680859861,0.005757126974471577
max,0.008817669946582467,0.00886403323807441
count,200000,200000
Chamfer_mean,0.0025182078963038516,
Chamfer_rms,0.0027639356098428268,
