metric,ref_to_tar,tar_to_ref
mean,0.001263988678486492,0.001263488177437907
rms,0.0013548370896828712,0.0013541255397937603
std,0.0004877665017591134,0.00048708685364766175
p50,0.0012271563892606962,0.0012267852490652716
p90,0.0019092231119207052,0.001906861285785313
p95,0.002127550779273311,0.002124740118248993
p99,0.002569928415766205,0.002562002914214918
max,0.003993292922281906,0.004438331666470031
count,200000,200000
Chamfer_mean,0.0012637384279621995,
Chamfer_rms,0.0013544813614631422,
