metric,ref_to_tar,tar_to_ref
mean,0.0029125415822296046,0.0029855496090404887
rms,0.003137114006211495,0.003245613564425328
std,0.0011655838964878523,0.0012729889793473739
p50,0.0029142052512309505,0.002942987055426241
p90,0.004404344000748503,0.004563215544194695
p95,0.004880184817848116,0.005207415381077543
p99,0.0058408809879787835,0.006769170766352582
max,0.00878384589112159,0.00937428506089224
count,200000,200000
Chamfer_mean,0.0029490455956350465,
Chamfer_rms,0.0031918248461930065,
