metric,ref_to_tar,tar_to_ref
mean,0.0026083245667771807,0.002782074989656676
rms,0.002852437564057713,0.0033287909834943193
std,0.001154574818361344,0.0018278151339016443
p50,0.0024898757911792236,0.002504872920171791
p90,0.004210733599249358,0.004339461520362539
p95,0.004693047093636517,0.004942776223386807
p99,0.005588950642405312,0.011914653085600186
max,0.00868058788485958,0.020101491867047714
count,200000,200000
Chamfer_mean,0.002695199778216928,
Chamfer_rms,0.003099778175018382,
