metric,ref_to_tar,tar_to_ref
mean,0.002615810920346779,0.0026144900427780694
rms,0.002824861128963583,0.0028232427529393924
std,0.0010664772041276585,0.001065430175205833
p50,0.0025242891176847763,0.0025231641357669485
p90,0.004037091093887341,0.004032820591914884
p95,0.004514093397522885,0.004510505640327383
p99,0.005449755854250357,0.0054761795715650525
max,0.00974853669016639,0.008568138384380425
count,200000,200000
Chamfer_mean,0.002615150481562424,
Chamfer_rms,0.0028240520568815833,
