metric,ref_to_tar,tar_to_ref
mean,0.0048700369171177,0.004189090777498386
rms,0.00658519850781371,0.005302665721294355
std,0.004432559059191727,0.0032511201469136975
p50,0.0034447007973041665,0.0033648679026246076
p90,0.011096864067498276,0.006691246069482184
p95,0.017189889917354928,0.010865217769743796
p99,0.020716961634052768,0.018155423245995925
max,0.022384189363009236,0.021789687617138873
count,200000,200000
Chamfer_mean,0.0045295638473080435,
Chamfer_rms,0.005978423836560189,
